,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168,Price_negative_secondary_lag_1,Price_negative_secondary_lag_24,Price_negative_secondary_lag_168,Price_negative_secondary_mean_24,Price_negative_secondary_std_24,Price_negative_secondary_max_24,Price_negative_secondary_mean_168,Price_negative_secondary_std_168,Price_negative_secondary_max_168
2023-03-03 06:00:00,-0.02313775,0.016963506,-0.06403949,0.059056275,-0.18991633,-0.05170803,0.08858807,-0.046628002,-0.0021361783,-0.56352234,0.0,-0.013159074,-0.021971982,0.021584395,-0.30317032,0.0,-0.03266053,0.0,0.0,0.014319637,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027211139,0.39724454,-0.21328413,0.0,-0.20766123,0.0033284454,0.0,0.0,-0.07679775,-0.018428216,-0.013096529,-0.033355836,0.017292384,0.010200094,0.0,-0.069166034,-0.08699634,0.0,-0.007249304,-0.07965568,-0.29058212,-0.021461464,-0.006142315,-0.030643536,-0.011496491,0.011067805,-0.043005213,-0.062781334,0.0,-0.37800166,-0.07833634,-0.044281345,-0.18448865,0.37536243,-0.96173835,-0.036569294,-0.09605731,0.0
2023-03-03 07:00:00,-0.023137746,0.01853905,-0.07850323,-0.44526476,-0.70880735,-0.027443066,0.08050316,-0.09262994,-0.06822969,-0.15592578,0.0,-0.040727984,-0.023351911,0.013534034,0.067384586,0.0,-0.029864434,0.0,0.0,0.027909007,0.0,0.0,0.0,0.0,0.0,0.0,-0.0055339234,-0.18644413,-0.21328413,0.0,-0.1830913,-0.007063371,0.0,0.0,0.010973768,-0.039350882,-0.013096529,-0.0070506763,-0.05162847,-0.006420406,0.0,-0.07500987,-0.100013465,0.0,-0.007627289,-0.18149121,-0.24140723,0.00086183636,-0.006142315,-0.04672059,-0.015459572,0.0055786557,-0.035388794,-0.09454274,0.0,-0.46008363,-0.1943468,-0.00022861268,-0.18448865,0.33763722,-0.6605914,-0.016899005,-0.06927327,0.0
2023-03-03 08:00:00,-0.023137746,0.01853905,-0.04849185,-0.698908,-0.78451914,0.015388226,0.08717547,-0.08980152,-0.10313843,0.12871355,0.0,-0.022127708,-0.011383955,0.013534034,0.08850524,0.0,-0.039294027,0.0,0.0,0.02853728,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027378146,-0.18881918,-0.17367744,0.0,-0.17948578,0.0028449416,0.0,0.0,-0.25944585,-0.059540536,0.023112226,-0.10591216,-0.06592062,-0.026615161,0.0,-0.07500987,-0.110098295,0.0,-0.007627289,-0.18149121,0.20525785,0.002463687,-0.006142315,-0.04672059,-0.015459572,0.011283999,-0.04652991,-0.066497564,0.0,0.27912813,-0.18840198,0.02033527,-0.14508982,0.49843836,-0.7118376,-0.033718877,-0.07852881,0.0
2023-03-03 09:00:00,-0.023137746,0.052080758,-0.052195523,0.12704155,-0.47512266,-0.18906242,0.14735787,-0.06679251,0.0069125667,0.1991523,0.0,-0.022127708,-0.011383955,0.021584395,0.08978354,0.0,-0.039294027,0.0,0.0,0.024054855,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027378146,-0.18670203,0.14183588,0.0,-0.14601174,0.0028449416,0.0,0.0,-0.24778467,-0.12763555,0.022410985,-0.022565383,-0.060235616,-0.019583182,0.0,-0.11531113,-0.110098295,0.0,-0.010737084,-0.17419839,0.22189008,-0.014841749,-0.006142315,-0.041117877,-0.015459572,0.008976851,-0.089460485,-0.07114617,0.0,0.2985428,-0.027273424,-0.057455856,-0.10798219,0.67355686,-0.8963437,-0.05313197,-0.068724975,0.0
2023-03-03 10:00:00,-0.064833865,0.041330475,-0.0396964,0.07105833,-0.93727595,0.004193105,0.13185571,-0.06170681,-0.028346453,0.19274995,0.0,-0.030867476,-0.023936093,0.012586594,0.08717472,0.0,-0.039294027,0.0,0.0,0.035673276,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027378146,-0.12882076,0.18900193,0.0,-0.15599783,0.001808812,0.0,0.0,0.0046662493,-0.030299641,0.020029452,-0.018597309,-0.062957056,-0.043412358,0.0,-0.053028375,-0.08677581,0.0,-0.04783274,-0.21547246,-0.19390462,-0.020745544,-0.006142315,-0.0471867,-0.020579595,0.011787987,-0.046885308,-0.038979903,0.0,-0.28472015,0.37447056,-0.10568228,-0.19317247,0.5487973,-0.70378196,-0.039269492,-0.06752028,0.0
2023-03-03 11:00:00,-0.026115475,0.041330475,0.23547424,0.07323338,-0.6981297,0.015051749,0.13012788,-0.06453522,-0.09907818,0.20974742,0.0,-0.039319664,-0.027937636,0.012586594,-0.3053852,0.0,-0.08070326,0.0,0.0,0.013796823,0.0,0.0,0.0,0.0,0.0,0.0,-0.005692406,-0.16623569,0.056667462,0.0,-0.13098593,0.001808812,0.0,0.0,-0.048094027,-0.03767274,0.017617637,-0.006189373,-0.16773249,-0.025782384,0.0,-0.06501843,-0.042943988,0.0,-0.046717618,-0.14723825,-0.2515714,0.00225477,0.014522263,0.0075622746,-0.020579595,0.018859586,-0.046885308,-0.07735318,0.0,-0.42857933,-0.0667864,0.014953144,-0.15982887,0.5757028,-0.61390066,-0.0023714546,-0.058310177,0.0
2023-03-03 12:00:00,-0.064833865,-0.19736025,-0.11114582,0.05434904,-1.0879078,0.004879142,0.08939357,-0.06962092,-0.06831796,0.16046092,0.0,-0.024550555,-0.027937636,0.012586594,-0.29173672,0.0,-0.08070326,0.0,0.0,0.013796823,0.0,0.0,0.0,0.0,0.0,0.0,-0.004593971,-0.2399961,-0.12643376,0.0,-0.10464108,0.001808812,0.0,0.0,0.046181537,-0.017587893,-0.005904584,-0.019841475,-0.004274127,-0.005410208,0.0,-0.0617363,0.03242904,0.0,-0.01802526,-0.14723825,-0.27035168,-0.014409424,-0.006142315,-0.029353559,-0.020579595,0.009088474,-0.04384683,-0.07735318,0.0,-0.22365049,-0.07296023,0.014953144,-0.1568636,0.47902063,-0.65678823,-0.02260826,-0.058310177,0.0
2023-03-03 13:00:00,-0.026115475,0.041330475,0.34646386,0.069923006,3.7591178,0.009857632,0.07993314,-0.05443822,-0.009512298,0.2545615,0.0,-0.0457904,-0.012604548,-0.029368877,-0.29591683,0.0,0.11254939,0.0,0.0,0.0110445265,0.0,0.0,0.0,0.0,0.0,0.0,0.021019118,0.4393468,-0.0005147774,0.0,0.6009774,0.0033284454,0.0,0.0,-0.07639962,0.0218329,-0.0072514405,0.046930354,0.02766936,0.010200094,0.0,-0.03452526,-0.03456438,0.0,-0.013589698,-0.06886741,-0.13319945,-0.020363558,0.014522263,0.02026307,-0.007858053,0.06858037,-0.016373012,-0.058867753,0.0,-0.21483128,-0.13063255,0.0073870462,-0.24746388,1.1505032,-0.33257082,-0.02414944,-0.06371595,0.0
2023-03-03 14:00:00,-0.015948463,0.014558829,0.26670408,0.047193676,-0.66936404,0.025394462,-0.43330866,-0.062160738,0.0016658306,0.20537743,0.0,-0.02972049,-0.023594806,0.0009429711,-0.2543943,0.0,0.11254939,0.0,0.0,0.010811124,0.0,0.0,0.0,0.0,0.0,0.0,0.021019118,0.40919024,-0.061796352,0.0,-0.12809049,0.006976019,0.0,0.0,0.061096586,-0.11215509,-0.026733808,0.053406443,0.06550411,0.010200094,0.0,-0.027305651,-0.106433526,0.0,-0.011851096,-0.06544804,-0.24445267,-0.021461464,-0.006142315,-0.084020495,-0.020579595,0.06360027,-0.036230408,-0.034736156,0.0,0.6924261,-0.030104145,-0.028285807,-0.12775172,0.5754495,-0.51819146,-0.099038914,-0.05951487,0.0
2023-03-03 15:00:00,-0.018383412,0.016992882,0.36966512,0.03437324,-1.1699259,0.009067692,-0.42132688,-0.054088186,0.0032037646,0.15158659,0.0,-0.02972049,-0.027937636,-0.029368877,-0.25831607,0.0,0.11073935,0.0,0.0,0.010811124,0.0,0.0,0.0,0.0,0.0,0.0,0.012589419,-0.2509492,-0.1545805,0.0,-0.16125183,-0.011109433,0.0,0.0,0.061096586,-0.1584019,-0.0076348716,-0.003353008,0.029686496,0.010200094,0.0,-0.0617363,-0.11079125,0.0,0.017951267,-0.13994543,-0.27814522,-0.021461464,-0.006142315,-0.09449484,-0.020579595,0.06360027,-0.04631005,-0.07114617,0.0,0.077553235,-0.028457724,-0.03096807,-0.13400543,0.52404857,-0.52586544,-0.02898657,-0.05951487,0.0
