,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p,aFRR n,mFRR p,mFRR n,FRCE p,FRCE n,RR p,RR n,Total System Imbalance,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH,day_type,hour,weekday,Price_positive_secondary_lag_1,Price_positive_secondary_lag_24,Price_positive_secondary_lag_168,Price_positive_secondary_mean_24,Price_positive_secondary_std_24,Price_positive_secondary_max_24,Price_positive_secondary_mean_168,Price_positive_secondary_std_168,Price_positive_secondary_max_168
2023-07-02 22:00:00,-0.20582892,-0.024278214,-0.0850724,-1.5007917,-0.014041766,-0.30217987,0.030163381,-0.05196622,-0.043743618,-0.016306981,0.0,-0.15646502,-0.19216037,0.00450372,-0.094692536,0.0,-0.20874953,-0.042425297,0.0,0.0027131494,-0.012306118,0.0,0.0,0.0,-0.006510194,0.0,0.03771186,0.038012885,-0.08231088,0.0,-0.0023511308,-0.062859826,0.0,0.0053328583,-0.027476007,-0.06467825,0.1409421,0.20492226,0.24569792,0.03689343,-0.1275634,-0.036509514,-0.067943476,0.0,-0.07816766,-0.049382724,-0.6702582,-0.041307643,-0.08623825,-0.24736916,-0.07212628,-1.6415511,0.17919481,-0.4150872,-0.045812972
2023-07-02 23:00:00,-0.18422383,0.0067342557,-0.088172615,-1.6566957,-0.014041766,-0.24622682,-0.008678873,-0.048470154,-0.043743618,-0.01304758,0.0,0.04724381,-0.16188128,0.00450372,0.07706621,0.0,-0.22844876,0.009487491,0.0,-0.017971009,-0.012306118,0.0,0.0,0.0,-0.0013113194,0.0,-0.04260826,0.04221348,-0.08231088,0.0,-0.008100047,-0.06566574,0.0,0.0053328583,-0.03828687,-0.062005103,0.1456618,0.22764772,0.25011885,-0.044566132,-0.08440247,-0.020908922,-0.06853483,0.0,-0.079075724,-0.0512966,-0.6805727,-0.041307643,-0.09165119,-0.21793087,-0.22538757,-1.67417,0.17919481,-0.4702146,-0.037614264
2023-07-03 00:00:00,-0.22598042,-0.016415041,0.08052473,-1.6973146,-0.011250601,-0.2064912,-0.004799474,-0.06516354,0.11660111,-0.017082313,0.0,0.090267226,0.16609478,0.00450372,-0.08834308,0.0,-0.06038319,0.008993972,0.0,-0.015559569,-0.0066172136,0.0,0.0,0.0,-0.0059599224,0.0,-0.15548338,-0.11006043,-0.11289272,0.0,-0.0023511308,-0.19918342,0.0,0.0053328583,-0.06388065,-0.018908747,0.08508669,-0.36590123,-0.06483804,0.03475039,-0.08530239,0.034041453,-0.090115026,0.0,0.054551296,0.08358185,-0.63082147,-0.021063574,-0.0808704,-0.16366139,-0.07696566,-1.8977009,0.18823543,-0.37710503,-0.16988385
2023-07-03 01:00:00,-0.214942,-0.0034702248,-0.080644086,-1.3995314,-0.016423823,-0.22098309,0.020247132,-0.08574125,0.09876014,-0.0013696719,0.0,-0.07654661,0.14202175,0.0024205926,-0.087767094,0.0,-0.023250809,0.008993972,0.0,0.0029232763,-0.03296772,0.0,0.0,0.0,-0.006510194,0.0,-0.15560092,0.04249593,-0.136283,0.0,-0.0023511308,-0.08929801,0.0,0.0053328583,-0.043957546,-0.031590987,0.15188342,0.2753633,-0.06797773,0.03364065,0.3414276,-0.03640732,-0.057161875,0.0,0.065782875,0.09734247,-0.54827744,-0.021063574,-0.105470784,-0.33749497,-0.034977518,-1.6810234,0.18875347,-0.51658607,-0.22787826
2023-07-03 02:00:00,-0.21565749,-0.0020681173,-0.080305636,-1.4947643,-0.016423823,-0.23745367,0.020247132,-0.08570847,0.11315944,0.00051848777,0.0,-0.14338373,0.14437807,0.0024205926,-0.082719915,0.0,0.15536626,0.008993972,0.0,0.0027131494,-0.03296772,0.0,0.0,0.0,-0.006510194,0.0,-0.15324458,0.04249593,-0.12646502,0.0,-0.008100047,-0.08929801,0.0,0.0053328583,-0.055801116,-0.031590987,0.15943822,0.35000724,-0.06797773,0.03364065,0.33969542,-0.03378106,-0.06900703,0.0,0.065782875,0.09734247,-0.54361725,-0.021063574,-0.105470784,-0.31642377,-0.065883175,-1.6979028,0.19124712,-0.5072359,-0.22787826
2023-07-03 03:00:00,-0.21565749,-0.012288042,-0.08059931,-1.3757021,-0.02015382,-0.2323466,0.026160348,-0.06634146,0.11315944,0.0008903798,0.0,-0.14410618,0.14810707,0.0024205926,-0.06192665,0.0,0.15536626,0.008993972,0.0,0.0027131494,-0.03296772,0.0,0.0,0.0,-0.0059599224,0.0,-0.1558322,0.04249593,-0.12646502,0.0,0.0005622241,-0.11478278,0.0,0.0053328583,-0.06333616,-0.031590987,0.15910468,0.28271443,-0.06797773,0.031229466,0.32750782,-0.03378106,-0.06900703,0.0,0.06746798,0.09734247,-0.41426864,-0.021063574,0.16908176,-0.31816986,-0.06198903,-1.694122,0.19124712,-0.51147246,-0.22277117
2023-07-03 04:00:00,-0.2116302,-0.01901811,-0.08776182,-1.4626907,-0.016423823,-0.21115968,0.022361416,-0.076628014,0.11486715,-0.018842855,0.0,-0.14868842,0.13822281,0.0024205926,-0.06285878,0.0,0.15609042,0.008993972,0.0,-0.01725139,-0.03296772,0.0,0.0,0.0,-0.0059599224,0.0,-0.15751512,-0.13135655,-0.1269328,0.0,0.0005622241,-0.09075229,0.0,0.0053328583,-0.032479282,-0.031590987,0.13268062,0.3396418,-0.05060932,0.031229466,0.32750782,-0.03640732,-0.06900703,0.0,0.065782875,0.09079195,-0.42434287,-0.021063574,0.17040633,-0.32094347,-0.05375938,-1.5870885,0.18875347,-0.4157458,-0.23313656
2023-07-03 05:00:00,-0.21855862,-0.01975861,0.43454957,-1.5396413,-0.032983676,-0.17962049,0.009841962,-0.10406697,0.0886856,-0.019428136,0.0,-0.15695146,0.13523489,0.0024205926,-0.07737611,0.0,-0.023250809,0.008993972,0.0,-0.021598471,-0.03296772,0.0,0.0,0.0,-0.006510194,0.0,-0.14385141,-0.062012993,-0.1269328,0.0,0.0005622241,0.09428105,0.0,0.0053328583,-0.04691909,-0.031590987,0.11630374,0.209171,-0.070637606,0.028702796,0.32745644,-0.018013403,-0.06860196,0.0,0.061672606,0.09079195,-0.65300393,-0.021063574,-0.10732952,-0.3541789,-0.054533273,-1.736132,0.18875347,-0.4197426,-0.23287246
2023-07-03 06:00:00,-0.21431167,-0.010539191,-0.12150164,-1.5700338,0.0049059065,-0.22257404,0.013640895,-0.10665776,0.03674225,-0.02544325,0.0,-0.1489514,0.14757046,0.0024205926,-0.08772056,0.0,-0.11238004,0.008993972,0.0,-0.01725139,-0.03296772,0.0,0.0,0.0,-0.006510194,0.0,-0.16351643,-0.13042375,-0.12079367,0.0,0.0005622241,0.05001905,0.0,0.0053328583,-0.040510487,-0.031590987,0.13234708,0.24857938,-0.070695296,0.031085376,0.33721277,-0.039135776,-0.06900703,0.0,0.084686965,0.09079195,-0.55475533,-0.041307643,-0.11648483,-0.35408998,-0.059913337,-1.5167323,0.20454156,-0.460446,-0.23451844
2023-07-03 07:00:00,-0.6072137,-0.04624995,-0.13174133,-0.032299824,0.0052939337,-0.23616414,0.026358476,-0.117078945,-0.042274274,-0.15307096,0.0,0.029350271,-0.20844613,0.0024205926,-0.103583485,0.0,-0.2192263,-0.1126257,0.0,-0.014486063,-0.03296772,0.0,0.0,0.0,-0.0055824933,0.0,-0.14530648,-0.14273298,-0.040709604,0.0,0.0005622241,0.33471286,0.0,0.012564417,0.017646633,-0.09315529,0.13687861,0.19306497,-0.058908932,0.023728088,-0.07811587,-0.070853665,-0.07716327,0.0,0.12904833,0.07805529,-0.9642084,-0.041307643,-0.090139836,-0.3211376,-0.020598464,-1.5833395,0.17967789,-0.38573015,-0.08544057
