,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p ,aFRR n ,mFRR p ,mFRR n ,FRCE p ,FRCE n ,RR p ,RR n ,Total System Imbalance ,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH
2023-07-02 12:00:00,-0.45630949376150964,0.002480521900579333,0.23438453594688327,-0.5225901949265972,-0.23135456243995578,1.0346110489661806,-34.78552613247186,-2.8913255846919492,-0.47732670561410484,-1.4549097932875157,-0.17707913276972248,-0.20267881294246762,-0.7345666241040454,-0.49409529405180364,-0.3364775828202255,0.020847697793506086,-0.24530579598620533,-0.020911734290421008,-0.05928475175984204,-0.6331227593752555,-0.14994362383149565,-0.0014717363938689231,0.256858229204081,-0.041832008417695764,0.20367731845006345,0.010821462301537394,1.9311219309084118,-0.03404757535085082,0.597951191519387,-1.0988104548119009,-0.19563398127444087,-0.049438322950154545,-0.007107887007296085,-0.21497444558888673,-0.676672383302357,-0.076475888825953,-0.33674582177307455,-0.5784974357346073,-0.22605835855938494,-1.7644728791946545,0.2769358782772906,0.03588344077114016,-0.19677371625555679
2023-07-02 13:00:00,-0.41106903735082595,0.10307385507039726,-0.19837344899307938,3.21155445439741,0.20997974567580968,0.009892302597872913,-31.056264301994815,1.4543675773893483,0.02980046165874228,-0.9099824748793617,-0.16944018416106701,-0.2188448624452576,-1.6790412557078525,-0.5564839540189133,0.0730722747882828,0.059614034979604186,0.16631932787597178,-0.017895244471728803,-0.03308451029472053,-0.2875086468178779,-0.16413354306481778,0.00021883711218833923,0.10801069482695311,-0.06164123533293605,0.20993806788697839,0.010182773275300861,-0.10448911615181715,-0.018320092214271427,-0.1971567646227777,-4.371739143203013,-2.283681392981671,-0.061981309060938655,-0.010155665688216686,-0.10140210725367069,2.5915386097622104,0.07117866431828589,0.48352665971498937,-0.17980042517650874,-0.23306827795226126,-2.2587372012762352,0.4653756609093398,-0.5298404063843191,-0.11026372690917924
2023-07-02 14:00:00,-0.38906417350750416,-0.14389115206780845,-0.5659432913688943,-1.187525645834394,0.3931677696295083,1.3748018967721145,-35.10022700790316,-1.26490447164746,-0.28087902344297616,-1.2082422685623169,-0.1920125062437728,-0.2604420457407832,-0.6899716091575101,-0.5692183573776856,0.06881517434958369,0.019708753167651593,0.17333258233964444,-0.015382388345897198,-0.06329195667989553,-0.3078508550999686,-0.13879929087124765,-0.000743440268561244,0.15546130399685354,-0.04906458819285035,0.16140194742009042,-0.00397528256289661,-0.1838318999065086,0.03014580118469894,0.9054041354358197,-3.0594683350855485,-0.05357564778067172,-0.0560587962588761,-0.009530318938195705,-0.14764322597533464,-0.25414305130718273,-0.07129118407145142,0.06024391880724579,-0.2939608672540635,-0.17659601382911205,-1.900715276435949,0.44211165740387515,-0.5604577274061739,0.13921843010233714
2023-07-02 15:00:00,-0.3383487534802407,-0.015288415419636294,0.031109093320555985,-1.1325027713412419,0.4132541871140711,0.3471530581288971,-37.62241495749913,-1.3935707189701498,-0.48667032931465654,-1.4349927484337242,-0.17507782054366544,-0.11391295283101499,-0.8772922624321654,-0.5698188143922016,0.10429074304178357,0.01917279223445803,0.14546578140929342,-0.020911734290421008,-0.0625800156313926,-0.240597070872318,-0.13122797324322164,-0.0014717363938689231,0.14691085919272154,-0.04491194663569331,0.20373760752379894,-0.004737783661112189,-0.1828567916341126,1.0642204073444008,0.7973155639413744,-1.7500073399534448,0.27869174945168196,0.16811621200758964,-0.009530318938195705,-0.10862786646932364,-0.024611586187966168,0.06774012411478907,-0.2797670833719894,-0.20203257150948048,-0.1444836947740987,-1.859792364281602,0.38531044539297,-0.5565716962749139,-0.2173543129186146
2023-07-02 16:00:00,-0.4029282098403201,0.056080837724730374,-0.028559320867061616,-1.140077839787118,0.4221395455079619,-0.31857521647354586,-34.19935535025783,-0.9592562044109217,-0.33809206552105026,-1.7192004057951271,-0.1748046013340354,-0.12263758341781796,-0.6442698068893514,-0.40361277864780276,-0.316460136284586,0.07705954781733454,0.11530643058940768,-0.023424590416252614,-0.06353739343583584,-0.6401514782081358,-0.12313917140476406,0.0009471332374960184,0.1864731122367084,-0.03505762236192823,0.15614724269136787,0.016623311159200967,-0.30055940510705115,0.027940168725326658,-0.12398279840126633,-0.8037473522918299,0.3376334287691861,-0.14618481125682592,-0.007784960009157658,-0.13155720330774784,0.4006309238215908,-0.08667346148751676,-0.3810036035673693,-0.7320159363374114,-0.21672949460335075,-1.9920534164551646,0.12527355524711312,-0.04724581644870341,-0.1457197961048223
2023-07-02 17:00:00,-0.4671061038738117,0.03643277368508279,-0.15033597940579058,-1.2554151733173058,0.4232070470706094,-0.4684048794745468,-36.423281054552646,-1.1952422011713497,0.09295688844053075,-1.7520420949161053,-0.17166432498022913,0.03424429209670052,0.4117446082108654,-0.40152357940096406,-0.3566203906224109,0.07830263814888895,-0.013390406891703606,-0.023424590416252614,-0.15020609186962247,-0.3360436499142088,-0.1151241844985634,0.00021883711218833923,0.19270809771958738,-0.034237893484532836,0.23408358024433254,0.0204104114882648,-0.2475762824434787,0.8096133771631867,-0.14366243119817226,-0.6490101288165897,0.3400257623009384,0.11361567045096307,-0.007784960009157658,-0.10612670097500086,-0.2135036783060059,0.07282198610715568,-0.3934944818681106,-0.7073868631385267,-0.12663452937267722,-2.3133714964892715,-0.22135161120444535,0.11085474150255323,-0.04895020988304168
2023-07-02 18:00:00,-1.186380708985962,0.07141125297173857,0.2812964099738747,-1.4600487292464823,0.2005839234823361,-1.9349285915086512,43.08045888933353,-34.433360163769684,-6.541837019065278,-1.8969062658073381,-0.059029344413429496,-0.18092535693198442,-0.23855711358133702,-0.16777322256937624,-0.1935475739184767,0.09657406234182417,0.4951362174004316,-0.1729103455413133,-0.12004423675127328,0.2298929782246705,-0.25914332720451055,-0.0019640476163476704,0.5593011320591904,-0.0739845185726881,0.4166760667786002,0.11784193180501461,-0.5026547808409668,-0.08150501229800283,-0.9901024892833084,-0.4152982682362199,0.292960427198559,0.32603673986624926,-0.002798762628808618,-0.04427139082923531,0.5183126538433135,0.02478971213218756,-0.16824909089831636,-1.6313535178173333,-0.9026100331102498,-12.243969981349073,-1.5032416187156923,-0.13003111246973276,-0.635604651349131
2023-07-02 19:00:00,-1.436707910229452,0.05462728367187083,0.3132427402120084,-0.06215260470984504,-0.030211195612791925,-1.2021465075341984,50.87968624071218,-19.64990417289082,-1.6843883638060653,-0.8820284794969484,-0.026160211954265832,-0.09782010690076276,-0.05986392442137003,-0.15154769092798234,-0.10140946315601468,0.09439425523392857,0.6798547193594277,-0.07126038123853505,-0.11944019176997245,0.14517884137458167,-0.20537227298133076,0.002386905420571566,0.5593011320591904,-0.05660059459507465,0.5165914355032146,0.1156558801420033,-0.6883456238382496,-0.09616397656500339,-0.5385852757911198,1.223992976360023,0.23151022431673482,-0.04479062197729945,-0.0032265468034893274,0.1056393806450069,0.1127002374920994,0.08126653734827415,0.2123761917068623,-1.5401316284574569,-0.6827826508553698,-13.280449108881875,0.053860532741528,0.11682141473051161,-0.5717900238116271
2023-07-02 20:00:00,-1.1745215965062379,0.24480404657078908,-0.46374621959403156,-0.1396860767994076,-0.08922910461202264,-1.093014971516095,51.9807907177601,-9.830155952135101,-3.731664085909724,-0.6444645821489394,-0.06173689035698771,-0.12571375879691915,-0.09139036003500223,-0.17535141844302415,-0.1423801626265049,0.08279389620292932,-0.8560805254988373,-0.10318607736378908,-0.12392132276669145,0.14400751876062715,-0.2060398261900991,0.0007063718512654305,0.7404375530127436,-0.04458268113434315,0.540279992390424,0.12196633317042142,-1.0467301920452154,-0.13261337072588503,-0.3020089866942726,1.8067517212033273,-0.05626995540689677,-0.027440468352288007,-0.0032265468034893274,0.11526716863736511,1.1538944168947638,0.016050877535017206,-0.07811233195941895,-1.1321444717654958,0.5211812107032165,-9.427536695846356,-0.20127881520194932,0.33898090187925844,-0.6714529834128916
2023-07-02 21:00:00,-1.502780565666035,-0.1407190347579308,-0.48124873395077883,-0.13585320862475783,-0.07514319375157356,-0.8451996752712876,52.878029167801145,-9.900800032389816,-3.47606921303086,-0.13618080209475011,-0.017860968131572008,0.15101514795795082,0.011959601279813796,-0.06463223582133651,0.006520834031980485,0.05569828815292567,-0.8945345312356949,0.2826251306943595,-0.0848015797091648,0.1763523149630055,-0.4059656645497307,0.002386905420571566,0.9720032457448542,-0.059616815317422155,0.2734837491204962,0.060633198395371436,0.3185701254941523,-0.055231979368254545,-0.21260164951439947,2.709978240178898,-0.12354472027160228,-0.03391813777387142,-0.003026547152549028,0.032996572125703096,0.4445584129029885,-0.14442433134070598,-0.09736870986875147,1.000568862783257,0.553970320217777,-3.0253209339361637,0.7493653083685785,0.7116450492711738,-0.3506501654512249
