,Price_gas,Imbalance netting import,Imbalance netting export,Energy_positive_secondary,Energy_negative_secondary,Energy_positive_tertiary,Energy_negative_tertiary,CH_dayahead_price,CH_intraday_price,renewable_energy,Cross_border_physical_flows_IT_CH,Cross_border_physical_flows_CH_IT,Cross_border_physical_flows_FR_CH,Cross_border_physical_flows_CH_FR,Cross_border_physical_flows_AT_CH,Cross_border_physical_flows_CH_AT,Cross_border_physical_flows_DE_CH,Cross_border_physical_flows_CH_DE,Forecast_transfer_capacities_dayahead_IT_CH,Forecast_transfer_capacities_dayahead_CH_IT,Forecast_transfer_capacities_dayahead_FR_CH,Forecast_transfer_capacities_dayahead_CH_FR,Forecast_transfer_capacities_dayahead_DE_CH,Forecast_transfer_capacities_dayahead_CH_DE,Forecast_transfer_capacities_dayahead_AT_CH,Forecast_transfer_capacities_dayahead_CH_AT,aFRR p ,aFRR n ,mFRR p ,mFRR n ,FRCE p ,FRCE n ,RR p ,RR n ,Total System Imbalance ,Exchange_CH_AT,Exchange_AT_CH,Exchange_CH_DE,Exchange_DE_CH,Exchange_CH_FR,Exchange_FR_CH,Exchange_CH_IT,Exchange_IT_CH
2023-07-02 12:00:00,-7.8554760739952325,-0.02356410801410675,0.032251110076904295,8.069429216384888,2.8542171052098273,-0.010163122415542602,-0.02852988839149475,-43.1590840601176,-26.42101942077279,0.11309906445443631,0.0,-0.01846691071987152,0.0,-0.25867868185043336,0.4080204212665558,0.015439574420452119,1.1836933712661266,-0.11030002474784852,-0.746076717376709,-1.4608124601468444,-0.9162090619653463,0.0,-0.3235404145717621,-0.02429977849125862,-0.5786476236581802,-0.008642284274101257,-0.34325413435697555,0.0,2.3662209573388098,0.13269666254520415,2.3440588209033013,-0.07732554823160172,0.0,-0.009248865842819214,-0.6384227985143661,0.2210494587942958,0.24082555055618285,-0.030681940913200378,-0.09390387296676636,0.0,0.0,0.3421598342061043,-0.014331337213516235
2023-07-02 13:00:00,-4.307818751707673,0.5358038568496704,0.021722002029418944,-97.33153069585562,-3.2459536546468737,0.06097873091697693,-0.012943800687789917,-27.232406348958612,-14.768140932321549,0.11666292935609818,0.0,0.00615563690662384,0.0,-0.3001788568496704,0.08599279224872589,0.015439574420452119,0.9844915668666363,-0.42792178481817245,-0.4352777546644211,-1.5068012868985534,-0.8792389856278896,0.0,-0.24737862288951873,-0.5871952231228351,-0.5866172990202904,-0.008642284274101257,-0.7216255465149879,0.0,-0.8881939509510994,0.13269666254520415,-0.9410861673951149,-0.07397377014160156,0.0,-0.009248865842819214,0.2339249497652054,0.18183587055653333,-0.09579913020133972,-0.030681940913200378,0.05047215104103089,0.0,0.0,-1.4323323360085487,0.02645499587059021
2023-07-02 14:00:00,-9.035412766709923,-0.01027423083782196,0.021722002029418944,18.97465576171875,2.5545626428723334,-0.010163122415542602,-0.02852988839149475,-40.04268894970417,-23.317243720442058,0.07601044215261936,0.0,0.00615563690662384,0.0,-0.25867868185043336,0.0528862863779068,0.04411306977272034,0.7926397584378719,-0.032698968648910524,-0.9523358601331711,-0.590099638402462,-0.9260344202071429,0.0,-0.3771108929812908,-0.007476854920387268,-0.3806409066915512,-0.008642284274101257,-0.34325413435697555,0.0,4.339195431172848,0.13269666254520415,1.782330412119627,-0.07075249671936035,0.0,-0.009248865842819214,4.455740128159523,0.3162321472167969,0.014120689630508422,-0.10891611725091935,0.05047215104103089,0.0,0.0,-0.8369136682152748,0.02645499587059021
2023-07-02 15:00:00,-8.056496785059572,-0.01027423083782196,-0.04344400405883789,7.3027238166332245,2.5502529090642927,-0.010163122415542602,-0.02852988839149475,-44.423765796422956,-26.42101942077279,0.13114716060459614,0.0,0.00615563690662384,0.0,-0.25867868185043336,0.0528862863779068,0.015439574420452119,1.1189104680716992,-0.03545356869697571,-0.746076717376709,-1.242806745171547,-0.9162090619653463,0.0,-0.3235404145717621,-0.02429977849125862,-0.5786476236581802,-0.008642284274101257,-0.34325413435697555,0.0,5.571499255597591,0.13269666254520415,2.421491512954235,-0.03393177509307861,0.0,-0.009248865842819214,-0.6517846673727036,0.3162321472167969,0.0,0.06580731689929963,0.1715509569644928,0.0,0.0,-0.8510343560576439,0.02645499587059021
2023-07-02 16:00:00,-10.615644078627229,-0.02356410801410675,0.032251110076904295,38.36106740161777,6.846143842935562,0.041201691627502444,-0.007270153760910034,-35.98189812280238,-19.816487931907176,0.19822291731834413,0.0,0.00615563690662384,0.0,-0.25867868185043336,0.03247797787189484,0.04411306977272034,1.3485298131406307,-0.03545356869697571,-1.5656081622838973,-1.9983116557821632,-0.8449059061706066,0.0,-0.32480826660990714,-0.007476854920387268,-0.3806409066915512,-0.008642284274101257,-0.36337368577718737,0.0,-0.6459160843491554,0.13269666254520415,2.9619003131985666,-0.0791713097691536,0.0,-0.009248865842819214,-0.9752460569143295,0.3162321472167969,0.0,0.5130974400043488,0.22823460698127745,0.0,0.0,0.2788319957256317,0.0819754245877266
2023-07-02 17:00:00,-10.634949276819825,-0.01027423083782196,0.032251110076904295,52.58461459897458,5.645953325927257,0.041201691627502444,-0.007270153760910034,-32.55454135783017,-19.816487931907176,0.21053418815135955,0.0,-0.01846691071987152,0.0,-0.09040001988410949,0.03247797787189484,0.04411306977272034,1.4257015608251096,-0.03545356869697571,-1.5656081622838973,-1.9983116557821632,-0.6516054873168469,0.0,-0.32480826660990714,-0.007476854920387268,-0.3806409066915512,-0.008642284274101257,-0.36337368577718737,0.0,-0.6459160843491554,0.13269666254520415,2.9619003131985666,-0.03577753663063049,0.0,-0.009248865842819214,-0.978360503911972,0.3162321472167969,0.0,0.5714156258106232,0.1715509569644928,0.0,0.0,0.4563008201122284,0.0819754245877266
2023-07-02 18:00:00,-10.660396339669823,-0.01027423083782196,0.021722002029418944,42.92707509227097,6.858664221465587,0.041201691627502444,-0.007270153760910034,-20.94336205512285,-19.777100956737996,0.22108358174562454,0.0,-0.01846691071987152,0.0,-0.01954584240913391,0.03247797787189484,0.04411306977272034,0.5294325354695321,-0.11030002474784852,-1.5656081622838973,-0.9900570481643081,-0.5756660370528698,0.0,-0.33290108129382134,-0.007476854920387268,-0.3806409066915512,-0.008642284274101257,-0.36337368577718737,0.0,-0.6459160843491554,-0.1954923015832901,2.929317310154438,-0.03577753663063049,0.0,0.0,-0.9752460569143295,0.15812834091484546,0.14969290733337404,0.3729488980770111,0.05047215104103089,-0.06529253959655762,0.0,0.46336426317691803,0.0819754245877266
2023-07-02 19:00:00,-8.047768554463982,-0.01027423083782196,0.032251110076904295,18.59386795975268,5.837204083502293,0.041201691627502444,-0.007270153760910034,-12.27753818076104,-15.678480486869812,0.15246273070573807,0.0,-0.01846691071987152,0.0,-0.01954584240913391,0.09911584675312042,0.04411306977272034,0.42068764597177505,-0.11030002474784852,-1.3593490195274354,-0.8949746274203062,-0.3516333203017712,0.0,-0.19649248585104942,-0.040795788764953614,-0.33284617960453033,-0.008642284274101257,-0.36337368577718737,0.0,-0.298960522711277,-0.1954923015832901,2.8242781460285187,-0.03577753663063049,0.0,0.0,-0.6741284197568893,0.18071912951767444,0.4188989758491516,0.3729488980770111,0.11316387593746186,0.0,0.0,-0.06814519792795182,-0.012356207370758057
2023-07-02 20:00:00,-8.778687842860817,-0.01027423083782196,0.021722002029418944,23.12594542324543,4.275520966351032,0.06097873091697693,-0.007270153760910034,-10.219854392223061,-8.482624769210815,0.09732601329684258,0.0,-0.01846691071987152,0.0,-0.01954584240913391,0.03247797787189484,0.04411306977272034,-0.13520240873098374,-0.11030002474784852,-0.9523358601331711,-0.7913539009541273,-0.36145867854356767,0.0,-0.24879511222243308,-0.007476854920387268,-0.32601836264133455,-0.008642284274101257,-0.8228016433119774,0.0,-0.298960522711277,-0.1954923015832901,-2.672351198941469,-0.0307105016708374,0.0,0.0,-1.1029324597120285,0.2003259224444628,0.36718268632888795,-0.10891611725091935,-0.13388402223587037,-0.06529253959655762,0.0,0.025812574326992035,-0.012356207370758057
2023-07-02 21:00:00,-7.965839900001884,-0.01027423083782196,0.021722002029418944,17.999943075627087,4.496672429442405,0.06097873091697693,-0.007270153760910034,-8.474863487891852,-8.259307148456573,0.08973136469721794,0.0,-0.01846691071987152,0.0,-0.01954584240913391,0.08599279224872589,0.04411306977272034,0.5167123455554247,1.254758516550064,-0.746076717376709,-0.9014882346242666,-0.3075262147188187,0.0,-0.24879511222243308,-0.007476854920387268,-0.33284617960453033,-0.008642284274101257,1.5858874800801277,0.0,-0.298960522711277,-0.11874273061752319,-1.3739015854895116,-0.08910530805587769,0.0,0.0,0.3656930285692215,0.11153102107346058,-0.8699375903606414,-0.05052131325006485,-0.13388402223587037,0.0,0.0,-0.034417714774608615,0.07308734387159348
