,0
CH_dayahead_price_lag1,21.36915397644043
Exchange_CH_DE,20.738754272460938
Price_negative_tertiary_lag1,19.66926383972168
Cross_border_physical_flows_CH_DE_lag1,14.396102905273438
Energy_positive_tertiary,14.168097496032715
Exchange_CH_AT,13.66251277923584
FRCE n,13.598312377929688
FRCE n_lag1,13.170347213745117
renewable_energy,12.771942138671875
Forecast_transfer_capacities_dayahead_CH_IT,12.600264549255371
CH_dayahead_price,11.883187294006348
Imbalance netting export,11.616897583007812
Exchange_CH_IT,11.391597747802734
Imbalance netting import_lag1,11.360719680786133
Price_positive_tertiary_lag1,10.456900596618652
Exchange_CH_FR,10.019270896911621
Exchange_IT_CH,8.53039836883545
Cross_border_physical_flows_CH_AT_lag1,8.510238647460938
Energy_negative_secondary_lag1,8.384397506713867
Exchange_CH_DE_lag1,8.147031784057617
Imbalance netting import,8.1466646194458
Cross_border_physical_flows_CH_IT,7.566518306732178
aFRR p,7.3406805992126465
Forecast_transfer_capacities_dayahead_CH_IT_lag1,7.150698661804199
Price_negative_secondary_lag1,7.113985061645508
Exchange_IT_CH_lag1,7.000026226043701
Energy_negative_tertiary,6.92634916305542
renewable_energy_lag1,6.844663619995117
CH_intraday_price,6.476751804351807
mFRR p,5.739853858947754
Price_gas,5.726130962371826
Energy_negative_secondary,5.210046768188477
Cross_border_physical_flows_CH_DE,4.884885787963867
Imbalance netting export_lag1,4.724339485168457
Exchange_CH_FR_lag1,4.650084495544434
Exchange_CH_IT_lag1,4.303608417510986
Energy_positive_secondary,4.0800933837890625
Exchange_AT_CH,3.9422779083251953
aFRR n,3.9180924892425537
Cross_border_physical_flows_CH_AT,3.888314723968506
Price_gas_lag1,3.8721671104431152
Exchange_CH_AT_lag1,3.577287197113037
Forecast_transfer_capacities_dayahead_IT_CH_lag1,3.5065932273864746
Energy_positive_tertiary_lag1,3.4467644691467285
Exchange_DE_CH,3.128912925720215
Energy_positive_secondary_lag1,3.0553195476531982
aFRR p_lag1,2.9916181564331055
Exchange_DE_CH_lag1,2.703859806060791
CH_intraday_price_lag1,2.665973424911499
Exchange_FR_CH,2.5765600204467773
Total System Imbalance_lag1,2.272848129272461
