,0
Cross_border_physical_flows_CH_DE,18.800029754638672
Price_positive_secondary_lag1,8.185460090637207
Price_gas_lag1,7.011873245239258
Energy_positive_secondary,6.885203838348389
Exchange_CH_DE,6.1511006355285645
mFRR p,5.704482078552246
mFRR p_lag1,5.09091854095459
Forecast_transfer_capacities_dayahead_AT_CH_lag1,4.63507080078125
Exchange_CH_FR_lag1,4.325309753417969
Exchange_CH_DE_lag1,2.785693407058716
Energy_negative_tertiary,2.6409971714019775
Exchange_FR_CH,2.552973508834839
Price_gas,2.388542652130127
renewable_energy,2.2085721492767334
Cross_border_physical_flows_AT_CH_lag1,1.9492424726486206
CH_dayahead_price,1.746605634689331
Forecast_transfer_capacities_dayahead_DE_CH_lag1,1.7452671527862549
CH_intraday_price,1.7365872859954834
Exchange_IT_CH_lag1,1.6335854530334473
Energy_positive_secondary_lag1,1.3561484813690186
Cross_border_physical_flows_CH_AT,1.1753549575805664
Exchange_CH_FR,1.0756317377090454
Cross_border_physical_flows_FR_CH_lag1,1.017227292060852
Price_negative_secondary_lag1,0.8733311891555786
Cross_border_physical_flows_CH_IT_lag1,0.7913162708282471
Exchange_CH_AT_lag1,0.7389470338821411
FRCE p_lag1,0.7232869267463684
aFRR n_lag1,0.6897628307342529
Total System Imbalance,0.6392125487327576
aFRR n,0.6196406483650208
Imbalance netting import,0.6195745468139648
Cross_border_physical_flows_AT_CH,0.5935266613960266
Cross_border_physical_flows_FR_CH,0.591512143611908
CH_dayahead_price_lag1,0.5817888975143433
renewable_energy_lag1,0.5595020651817322
Exchange_CH_IT_lag1,0.5524568557739258
Forecast_transfer_capacities_dayahead_CH_IT,0.4649219810962677
Exchange_DE_CH,0.4419308602809906
Exchange_CH_IT,0.4390099346637726
Total System Imbalance_lag1,0.4230235517024994
Exchange_AT_CH,0.3840232193470001
Forecast_transfer_capacities_dayahead_DE_CH,0.30445966124534607
Exchange_DE_CH_lag1,0.2690873146057129
Energy_positive_tertiary,0.24576431512832642
Cross_border_physical_flows_DE_CH_lag1,0.21571701765060425
Energy_negative_secondary,0.028635501861572266
Imbalance netting import_lag1,0.025228142738342285
